target,m,T,k_true,n_clusters,n_active,loss,max_da,max_db,active_leq_k
sin_3pi,1000,1000,5,5,964,6.204613730343721e-05,0.010733326364529677,0.002341171094728428,0
sin_3pi,1500,200,5,2,1430,0.0003178842473585961,0.004100165323713952,0.0004092537324716728,0
sin_3pi,1500,500,5,2,1434,7.896996497068538e-05,0.0011705554312333266,0.00013789043037416206,0
sin_3pi,1500,1000,5,2,1442,2.5082635953280286e-05,0.002962769544135001,0.00043126732895079997,0
sin_4pi,50,200,7,9,50,0.21334232412270043,0.00614214190992253,0.003117881661492092,0
sin_4pi,50,500,7,9,50,0.09256780170318701,0.004104802644732017,0.003884773235609814,0
sin_4pi,50,1000,7,9,50,0.03640713296644973,0.0025655746724140577,0.002257427004372981,0
sin_4pi,100,200,7,10,100,0.1117116664384466,0.010042829112158109,0.00520586055490936,0
sin_4pi,100,500,7,11,100,0.029852035413180624,0.003027162252082507,0.0033076072984569395,0
sin_4pi,100,1000,7,13,100,0.01290058416184136,0.0015936820641862114,0.002335836447164372,0
sin_4pi,250,200,7,20,247,0.02672178137727546,0.0025378442434164862,0.0012733610666167627,0
sin_4pi,250,500,7,21,250,0.007862423391576293,0.003177124704325631,0.002267478507437676,0
sin_4pi,250,1000,7,19,250,0.0052132523390419185,0.0058700469265108406,0.004105956044587858,0
sin_4pi,500,200,7,20,497,0.009193614333190738,0.0016428416297422398,0.0013232790388245294,0
sin_4pi,500,500,7,26,497,0.003178469029736232,0.016570491527739165,0.006615479920471339,0
sin_4pi,500,1000,7,24,497,0.0019117601697866576,0.02438546776127738,0.012308268715985317,0
sin_4pi,1000,200,7,22,979,0.0034286755426290593,0.005690937795067106,0.0018320478072819065,0
sin_4pi,1000,500,7,17,985,0.0008628640152331616,0.012248689170975099,0.003710088862225482,0
sin_4pi,1000,1000,7,15,986,0.0003259492598435503,0.02192647015723893,0.007668443798595973,0
sin_4pi,1500,200,7,4,1463,0.0015935206804259883,0.004299184227766603,0.0008532132587421277,0
sin_4pi,1500,500,7,7,1468,0.0003547964065522776,0.004897434702899832,0.000888462201917836,0
sin_4pi,1500,1000,7,7,1469,0.00010186172807946872,0.00566185655468795,0.0010865767091074966,0
x_cubed,50,200,1,30,45,0.00033931779781667314,0.0006123915525251349,0.0005362705385326266,0
x_cubed,50,500,1,31,46,6.843920428821205e-05,0.001609093097606983,0.0004964636555202376,0
x_cubed,50,1000,1,30,46,2.066060285284857e-05,0.001195456746474584,0.0003953485081656284,0
x_cubed,100,200,1,39,66,0.0002928914314716734,0.00037294720537203426,0.0003158553948413325,0
x_cubed,100,500,1,40,69,7.440011502259627e-05,0.0005537257949107657,0.0001580392395921312,0
x_cubed,100,1000,1,37,72,2.0415854152681127e-05,0.0008143095825126432,0.0002299003754618119,0
x_cubed,250,200,1,31,129,0.00016409593536589914,0.00045161273201753643,0.0002740875394162824,0
x_cubed,250,500,1,31,125,2.3584354098891295e-05,0.0003195680797609302,7.527626678618184e-05,0
x_cubed,250,1000,1,33,128,7.167369216992208e-06,0.0020849236823905896,0.00048130624763054257,0
x_cubed,500,200,1,17,94,0.00016888815513913823,0.0029238717002466343,0.0005261706785173383,0
x_cubed,500,500,1,16,91,2.9186520014619088e-05,0.00034684208022806175,8.94183210010558e-05,0
x_cubed,500,1000,1,19,88,9.404775761502044e-06,0.0007925919360103851,0.0002035387450419427,0
x_cubed,1000,200,1,10,175,0.00020241263826592014,0.0026734387225594105,0.0003713043762858329,0
x_cubed,1000,500,1,13,148,2.714702964437588e-05,0.0027391148879764146,0.0005756187665018868,0
x_cubed,1000,1000,1,13,140,7.1149831454010724e-06,0.0006967279745192304,0.00014941526281239372,0
x_cubed,1500,200,1,6,235,0.00025382963746823685,0.0008919884116869998,0.0002480386347868865,0
x_cubed,1500,500,1,6,174,3.3163799995280985e-05,0.0021393416520589757,0.0004335997498000114,0
x_cubed,1500,1000,1,7,157,7.031940176561868e-06,0.0006627370711571724,0.00014064000939067363,0
